SITIO;X;Y;Temp;pH_campo;Cond_campo ;pH_Lab;Cond_Lab;Cl;Ca+;HCO3-;SO4;Fe;Si;B;Li;F;Na;K;Mg+
Termal Sitio U-1;36940,1865;1184319,003;46,5;6,80;532;6,96;523;9,8;58,9;246,0;60,8;< 0.07;157,0;1,0;< 1;< 0.5;57,7;11,2;16,9
Termal CTP-1;367863,9425;1180305,157;41,0;6,51;685;6,37;665;12,2;59,8;389,0;42,1;< 0.07;142,0;< 1,0;< 1;< 0.5;68,8;15,5;32,7
Termal CTP-2;367812,5554;1179988,599;46,0;6,70;940;6,74;915;16,2;78,4;578,0;58,1;< 0.07;150,0;< 1,0;< 1;< 0.5;104,2;10,6;46,3
Termal CTP-3;367834,6181;1179987,59;46,0;6,26;1070;6,38;912;15,9;79,2;551,5;57,4;< 0.07;150,0;< 1,0;< 1;< 0.5;107,1;14,1;45,9
Termal Guayabal;370116,1634;1189156,91;59,0;***;***;2,17;7480;728,0;104,0;0,0;3344,0;103,0;265,0;4,0;< 1;< 0.5;55,0;3,0;37,0
Termal Josue Ulate;369588,7581;1187588,745;36,0;2,83;***;2,78;2770;188,0;203,0;0,0;1383,0;2,92;162,0;2,0;< 1;< 0.5;56,0;9,0;65,0
Termal R. Perdido-1;368600,2241;1171843,585;42,0;6,20;1100;6,17;876;75,9;58,8;443,5;14,3;< 0.07;156,0;4,0;< 1;< 0.5;167,0;17,5;26,7
Termal R. Perdido-2;368605,8469;1171824,862;44,6;6,18;1080;6,24;900;80,1;59,4;447,0;14,2;< 0.07;155,0;< 1,0;< 1;< 0.5;184,3;16,6;26,8
Termal R. Perdido-3;368614,1861;1171802,32;***;6,05;***;6,09;482;6,2;45,3;327,5;5,6;< 0.07;131,0;< 1,0;< 1;< 0.5;59,6;8,8;21,0
Termal R. Perdido-4;368607,7452;1171767,892;31,2;6,04;***;6,05;368;5,6;36,8;251,0;2,9;< 0.07;120,0;< 1,0;< 1;< 0.5;40,0;8,7;17,0
Termal Guayacan;369370,358;1185373,46;39,0;5,85;420;5,86;416;8,1;46,5;201,0;43,5;< 0.07;124,0;< 1,0;< 1;< 0.5;41,9;14,5;14,3
